Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
443,6,15/02/2018 10:35:25,115977940,28,30,2188,22138,918,0,78.1428571429,240.6556960081,1460,0,737.9333333333,699.1952484123,209.746784604,0.5000951043,2034700.70175439,3995409.3241168,10009383,0,115977940,4295479.25925926,4947155.83021189,10031098,16,110664490,3816016.89655172,4944116.62613147,10031166,0,0,0,0,0,572,744,0.2414252228,0.2586698815,0,1460,412.3050847458,618.9349376491,383080.457042665,0,0,0,1,0,0,0,0,1,419.4137931034,78.1428571429,737.9333333333,0,0,0,0,0,0,28,2188,30,22138,8192,1061,16,20,49290.0833333333,95370.7913018335,352133,21697,9615536.91666667,1361640.07896897,10009383,5291754,Benign
3128,6,15/02/2018 09:33:53,1002481,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1.9950502803,1002481.0,0.0,1002481,1002481,1002481,1002481.0,0.0,1002481,1002481,0,0.0,0.0,0,0,0,0,0,0,80,0,1.9950502803,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,14600,-1,0,40,0.0,0.0,0,0,0.0,0.0,0,0,Benign
443,6,15/02/2018 03:32:20,60108102,4,2,147,252,74,0,36.75,42.4372085164,126,126,126.0,0.0,6.6380402429,0.099820154,12021620.4,26785950.3227351,59937783,29607,60108102,20036034.0,34555929.0984522,59937783,77682,60016395,60016395.0,0.0,60016395,60016395,1,0,0,0,80,40,0.0665467694,0.0332733847,0,126,67.4285714286,51.7360517204,2676.6190476191,0,1,0,0,1,0,0,0,0,78.6666666667,36.75,126.0,0,0,0,0,0,0,4,147,2,252,254,7157,1,20,77682.0,0.0,77682,77682,59937783.0,0.0,59937783,59937783,Benign
53,17,15/02/2018 10:53:26,13854,1,1,44,198,44,44,44.0,0.0,198,198,198.0,0.0,17467.8793128338,144.362638949,13854.0,0.0,13854,13854,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,72.1813194745,72.1813194745,44,198,95.3333333333,88.9119414552,7905.3333333333,0,0,0,0,0,0,0,0,1,143.0,44.0,198.0,0,0,0,0,0,0,1,44,1,198,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
443,6,15/02/2018 08:59:56,326,3,0,53,0,53,0,17.6666666667,30.5995642671,0,0,0.0,0.0,162576.687116564,9202.4539877301,163.0,183.8477631085,293,33,326,163.0,183.8477631085,293,33,0,0.0,0.0,0,0,0,0,0,0,60,0,9202.4539877301,0.0,0,53,13.25,26.5,702.25,0,0,0,0,1,0,0,0,0,17.6666666667,17.6666666667,0.0,0,0,0,0,0,0,3,53,0,0,256,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,15/02/2018 11:29:08,84,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,23809.5238095238,84.0,0.0,84,84,84,84.0,0.0,84,84,0,0.0,0.0,0,0,0,0,0,0,40,0,23809.5238095238,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,278,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,15/02/2018 03:07:39,54689596,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.036570027,54689596.0,0.0,54689596,54689596,54689596,54689596.0,0.0,54689596,54689596,0,0.0,0.0,0,0,0,0,0,0,40,0,0.036570027,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,279,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,15/02/2018 08:55:01,54901299,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0364290105,54901299.0,0.0,54901299,54901299,54901299,54901299.0,0.0,54901299,54901299,0,0.0,0.0,0,0,0,0,0,0,40,0,0.0364290105,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,279,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,15/02/2018 09:43:35,54734414,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0365400824,54734414.0,0.0,54734414,54734414,54734414,54734414.0,0.0,54734414,54734414,0,0.0,0.0,0,0,0,0,0,0,40,0,0.0365400824,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,279,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,15/02/2018 09:30:20,1905890,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1.0493785056,1905890.0,0.0,1905890,1905890,1905890,1905890.0,0.0,1905890,1905890,0,0.0,0.0,0,0,0,0,0,0,64,0,1.0493785056,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,226,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS attacks-GoldenEye
53,17,15/02/2018 09:41:25,304,1,1,56,104,56,56,56.0,0.0,104,104,104.0,0.0,526315.789473684,6578.9473684211,304.0,0.0,304,304,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,3289.4736842105,3289.4736842105,56,104,72.0,27.7128129211,768.0,0,0,0,0,0,0,0,0,1,108.0,56.0,104.0,0,0,0,0,0,0,1,56,1,104,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,15/02/2018 11:58:28,391,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,5115.0895140665,391.0,0.0,391,391,391,391.0,0.0,391,391,0,0.0,0.0,0,0,0,0,0,0,40,0,5115.0895140665,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,253,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
52165,6,15/02/2018 02:44:45,4901005,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.4080795674,4901005.0,0.0,4901005,4901005,4901005,4901005.0,0.0,4901005,4901005,0,0.0,0.0,0,0,0,0,0,0,40,0,0.4080795674,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,237,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,15/02/2018 10:04:11,91,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,21978.021978022,91.0,0.0,91,91,91,91.0,0.0,91,91,0,0.0,0.0,0,0,0,0,0,0,40,0,21978.021978022,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,279,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,15/02/2018 09:53:41,5013609,4,4,333,662,333,0,83.25,166.5,662,0,165.5,331.0,198.4598320292,1.5956569409,716229.857142857,1890914.39901559,5004418,6,9191,3063.6666666667,2820.6003498074,5945,308,5013603,1671201.0,2886916.71421189,5004725,3247,0,0,0,0,136,136,0.7978284705,0.7978284705,0,662,110.5555555556,234.2888767692,54891.2777777778,0,0,0,1,0,0,0,0,1,124.375,83.25,165.5,0,0,0,0,0,0,4,333,4,662,26883,219,1,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS attacks-GoldenEye
80,6,15/02/2018 02:15:31,84,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,23809.5238095238,84.0,0.0,84,84,84,84.0,0.0,84,84,0,0.0,0.0,0,0,0,0,0,0,40,0,23809.5238095238,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,278,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
443,6,15/02/2018 12:38:02,201242,9,8,511,4836,194,0,56.7777777778,83.2778148395,1460,0,604.5,712.9902824423,26570.0002981485,84.4754077181,12577.625,35982.3208161545,144964,0,201242,25155.25,49222.9503346036,144964,18,183413,26201.8571428571,61230.9123249267,164338,0,0,0,0,0,192,172,44.7222746743,39.7531330438,0,1460,297.0555555556,541.1310021038,292822.761437908,0,0,1,1,0,0,0,1,0,314.5294117647,56.7777777778,604.5,0,0,0,0,0,0,9,511,8,4836,8192,31,4,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
51433,6,15/02/2018 02:11:01,50,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,40000.0,50.0,0.0,50,50,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,20000.0,20000.0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,147,253,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
443,6,15/02/2018 10:35:29,119355516,11,12,558,387,164,0,50.7272727273,60.055126191,91,0,32.25,31.886517527,7.9175226388,0.1927016092,5425250.72727273,17082054.5175204,58352506,0,119355516,11935551.6,24412688.3296864,58464733,44709,119231124,10839193.0909091,23465663.384233,58424486,0,1,0,0,0,220,240,0.0921616392,0.10053997,0,164,41.2916666667,46.2662231633,2140.5634057971,0,1,0,0,1,0,0,0,1,43.0869565217,50.7272727273,32.25,0,0,0,0,0,0,11,558,12,387,257,209,6,20,1432062.0,1848925.84088384,2739450,124674,58183383.5,239175.333202444,58352506,58014261,Benign
50405,6,15/02/2018 11:09:11,5407,3,0,31,0,31,0,10.3333333333,17.8978583449,0,0,0.0,0.0,5733.3086739412,554.8363232846,2703.5,3821.9121523133,5406,1,5407,2703.5,3821.9121523133,5406,1,0,0.0,0.0,0,0,0,0,0,0,60,0,554.8363232846,0.0,0,31,7.75,15.5,240.25,0,0,0,0,1,0,0,0,0,10.3333333333,10.3333333333,0.0,0,0,0,0,0,0,3,31,0,0,1412,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53228,6,15/02/2018 05:02:14,1,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,2000000.0,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0.0,0.0,0,0,0,0,0,0,40,0,2000000.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,31,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
